TIPO DE MORTE;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA ;HORARIO APROXIMADO;TURNO
HOMICIDIO;19:06;ALECRIM;MERCADO PUBLICO DA AV 4;MASCULINO;NEGRA;53;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;fevereiro;11;terça-feira;ADULTO;19;NOTURNO
HOMICIDIO;21:37;ALECRIM;R ANTONIO GONCALVES Nº 1662 A;MASCULINO;NEGRA;43;SOLDADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;26;quarta-feira;ADULTO;22;NOTURNO
HOMICIDIO;18:27;ALECRIM;VIA PUBLICA - GUARITA;MASCULINO;PARDA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;31;segunda-feira;ADOLESCENTE;18;VESPERTINO
HOMICIDIO;NI;ALECRIM;R JOAQUIM FONSECA;MASCULINO;NEGRA;36;GARCOM;ENSINO MEDIO COMPLETO;ARMA DE FOGO;julho;4;sexta-feira;ADULTO;NI;NI
HOMICIDIO;21:27;ALECRIM;"ESTACAO FERROVIARIA ALECRIM ""1"" - R PEREIRA PINTO";MASCULINO;NEGRA;25;NI;NI;ARMA DE FOGO;abril;9;quarta-feira;ADULTO;21;NOTURNO
HOMICIDIO;01:41;ALECRIM;R ARY PARREIRA VP;MASCULINO;PARDA;38;NI;NI;ARMA DE FOGO;outubro;5;domingo;ADULTO;2;MADRUGADA
HOMICIDIO;11:43;ALECRIM;R BARAUNA, 1058;MASCULINO;NEGRA;21;DESOCUPADO(A);NI;ARMA DE FOGO;julho;13;domingo;ADULTO;12;MATUTINO
HOMICIDIO;23:35;ALECRIM;R CAPITAO SILVEIRA BARRETO;MASCULINO;NEGRA;20;DESEMPREGADO;NI;ARMA DE FOGO;maio;3;sábado;ADULTO;24;NOTURNO
HOMICIDIO;15:38;ALECRIM;R EPITACIO PESSOA;MASCULINO;BRANCA;24;NI;NI;ARMA DE FOGO;outubro;30;quinta-feira;ADULTO;16;VESPERTINO
HOMICIDIO;04:57;ALECRIM;R INTERVENTOR THEODOSIO PAIVA;MASCULINO;PARDA;25;DESOCUPADO(A);NI;ARMA DE FOGO;fevereiro;9;domingo;ADULTO;5;MADRUGADA
HOMICIDIO;NI;ALECRIM;R RAFAEL FERNANDES;MASCULINO;NEGRA;18;DESOCUPADO(A);NI;ARMA DE FOGO;julho;26;sábado;ADULTO;NI;NI
HOMICIDIO;NI;ALECRIM;R SAO FRANCISCO (VIA PUBLICA;MASCULINO;PARDA;26;DESOCUPADO(A);NI;ARMA DE FOGO;setembro;9;terça-feira;ADULTO;NI;NI
